Maturity,Horizon,Total IRF,Exp channel,TP channel,Exp share (%),TP share (%)
Y1,0,0.141314,0.009083,0.132231,6.43,93.57
Y1,1,0.077855,0.003687,0.074168,4.74,95.26
Y1,2,0.02866,0.001438,0.027222,5.02,94.98
Y1,3,0.011012,0.000554,0.010458,5.03,94.97
Y1,4,0.004322,0.000218,0.004104,5.03,94.97
Y1,5,0.001698,8.4e-05,0.001614,4.97,95.03
Y1,6,0.00065,3.3e-05,0.000617,5.07,94.93
Y1,7,0.000258,1.3e-05,0.000245,4.97,95.03
Y1,8,9.9e-05,5e-06,9.4e-05,5.05,94.95
Y1,9,3.9e-05,2e-06,3.7e-05,4.99,95.01
Y1,10,1.5e-05,1e-06,1.4e-05,5.06,94.94
Y1,11,6e-06,0.0,6e-06,4.92,95.08
Y1,12,2e-06,0.0,2e-06,5.76,94.24
Y1,13,1e-06,0.0,1e-06,4.48,95.52
Y1,14,0.0,0.0,-0.0,174.7,-174.7
Y1,15,0.0,0.0,-0.0,67.99,-67.99
Y1,16,0.0,0.0,-0.0,26.51,-26.51
Y1,17,0.0,0.0,-0.0,10.32,-10.32
Y1,18,0.0,0.0,-0.0,4.02,-4.02
Y1,19,0.0,0.0,-0.0,1.57,-1.57
Y1,20,0.0,0.0,-0.0,0.61,-0.61
Y1,21,0.0,0.0,-0.0,0.24,-0.24
Y1,22,0.0,0.0,-0.0,0.09,-0.09
Y1,23,0.0,0.0,-0.0,0.04,-0.04
Y1,24,0.0,0.0,-0.0,0.01,-0.01
Y3,0,0.108338,0.003028,0.10531,2.79,97.21
Y3,1,0.04413,0.001229,0.042901,2.78,97.22
Y3,2,0.015744,0.000479,0.015265,3.04,96.96
Y3,3,0.006162,0.000185,0.005977,3.0,97.0
Y3,4,0.002396,7.3e-05,0.002323,3.03,96.97
Y3,5,0.000953,2.8e-05,0.000925,2.95,97.05
Y3,6,0.000359,1.1e-05,0.000348,3.06,96.94
Y3,7,0.000145,4e-06,0.000141,2.95,97.05
Y3,8,5.5e-05,2e-06,5.3e-05,3.03,96.97
Y3,9,2.2e-05,1e-06,2.1e-05,2.95,97.05
Y3,10,8e-06,0.0,8e-06,3.16,96.84
Y3,11,3e-06,0.0,3e-06,3.28,96.72
Y3,12,1e-06,0.0,1e-06,3.84,96.16
Y3,13,1e-06,0.0,1e-06,1.49,98.51
Y3,14,0.0,0.0,-0.0,58.23,-58.23
Y3,15,0.0,0.0,-0.0,22.66,-22.66
Y3,16,0.0,0.0,-0.0,8.84,-8.84
Y3,17,0.0,0.0,-0.0,3.44,-3.44
Y3,18,0.0,0.0,-0.0,1.34,-1.34
Y3,19,0.0,0.0,-0.0,0.52,-0.52
Y3,20,0.0,0.0,-0.0,0.2,-0.2
Y3,21,0.0,0.0,-0.0,0.08,-0.08
Y3,22,0.0,0.0,-0.0,0.03,-0.03
Y3,23,0.0,0.0,-0.0,0.01,-0.01
Y3,24,0.0,0.0,-0.0,0.0,-0.0
Y5,0,0.0827,0.001817,0.080883,2.2,97.8
Y5,1,0.041745,0.000737,0.041008,1.77,98.23
Y5,2,0.011302,0.000288,0.011014,2.54,97.46
Y5,3,0.005845,0.000111,0.005734,1.9,98.1
Y5,4,0.001741,4.4e-05,0.001697,2.5,97.5
Y5,5,0.000892,1.7e-05,0.000875,1.89,98.11
Y5,6,0.000265,7e-06,0.000258,2.49,97.51
Y5,7,0.000134,3e-06,0.000131,1.91,98.09
Y5,8,4.1e-05,1e-06,4e-05,2.44,97.56
Y5,9,2e-05,0.0,2e-05,1.94,98.06
Y5,10,6e-06,0.0,6e-06,2.53,97.47
Y5,11,3e-06,0.0,3e-06,1.97,98.03
Y5,12,1e-06,0.0,1e-06,2.3,97.7
Y5,13,0.0,0.0,-0.0,89.6,-89.6
Y5,14,0.0,0.0,-0.0,34.94,-34.94
Y5,15,0.0,0.0,-0.0,13.6,-13.6
Y5,16,0.0,0.0,-0.0,5.3,-5.3
Y5,17,0.0,0.0,-0.0,2.06,-2.06
Y5,18,0.0,0.0,-0.0,0.8,-0.8
Y5,19,0.0,0.0,-0.0,0.31,-0.31
Y5,20,0.0,0.0,-0.0,0.12,-0.12
Y5,21,0.0,0.0,-0.0,0.05,-0.05
Y5,22,0.0,0.0,-0.0,0.02,-0.02
Y5,23,0.0,0.0,-0.0,0.01,-0.01
Y5,24,0.0,0.0,-0.0,0.0,-0.0
Y10,0,0.082805,0.000908,0.081897,1.1,98.9
Y10,1,0.027732,0.000369,0.027363,1.33,98.67
Y10,2,0.008825,0.000144,0.008681,1.63,98.37
Y10,3,0.004409,5.5e-05,0.004354,1.26,98.74
Y10,4,0.00126,2.2e-05,0.001238,1.73,98.27
Y10,5,0.000684,8e-06,0.000676,1.23,98.77
Y10,6,0.000192,3e-06,0.000189,1.72,98.28
Y10,7,0.000102,1e-06,0.000101,1.26,98.74
Y10,8,3e-05,0.0,3e-05,1.67,98.33
Y10,9,1.5e-05,0.0,1.5e-05,1.3,98.7
Y10,10,5e-06,0.0,5e-06,1.52,98.48
Y10,11,2e-06,0.0,2e-06,1.48,98.52
Y10,12,1e-06,0.0,1e-06,1.15,98.85
Y10,13,0.0,0.0,-0.0,44.8,-44.8
Y10,14,0.0,0.0,-0.0,17.47,-17.47
Y10,15,0.0,0.0,-0.0,6.8,-6.8
Y10,16,0.0,0.0,-0.0,2.65,-2.65
Y10,17,0.0,0.0,-0.0,1.03,-1.03
Y10,18,0.0,0.0,-0.0,0.4,-0.4
Y10,19,0.0,0.0,-0.0,0.16,-0.16
Y10,20,0.0,0.0,-0.0,0.06,-0.06
Y10,21,0.0,0.0,-0.0,0.02,-0.02
Y10,22,0.0,0.0,-0.0,0.01,-0.01
Y10,23,0.0,0.0,-0.0,0.0,-0.0
Y10,24,0.0,0.0,-0.0,0.0,-0.0
